epoch,train_loss,val_mae,val_rmse,val_mse
1,0.9605661428199624,0.06981212645769119,0.08827393182872185,0.007792287040501833
2,0.866975355823085,0.08726820349693298,0.10509599494719878,0.011045168153941631
3,0.8541031581050945,0.10068625956773758,0.11874056311178392,0.014099321328103542
4,0.8507305383682251,0.10753638297319412,0.12584812803115175,0.01583775132894516
5,0.8383789973438911,0.11292719095945358,0.13179754475240799,0.017370592802762985
6,0.8268475217639275,0.11673706769943237,0.13596414354263336,0.018486248329281807
7,0.8136011665722109,0.12069110572338104,0.1405143037197518,0.01974426954984665
8,0.7969216085829824,0.12230638414621353,0.14231163098015906,0.02025260031223297
