timestamp,disp_max_p95,abs_vel_mean_p95,abs_acc_mean_p95,active_ratio_mean,valid_ratio_mean,active_patch_count,missing_patch_count,disp_score,vel_score,acc_score,active_score,score,is_local_peak,selected_rank,is_selected,selection_threshold
2024-06-02 21:00:00,1.4285715,0.18072398299999998,0.07671679099999999,0.656468621384366,1.0,307,0,0.4707857863371378,15.96202152211298,139.64707264703983,0.5555762301760705,39.150385002032614,True,2,1,1.2999999999999998
2024-06-02 03:00:00,1.6357143199999997,0.17273899499999998,0.07266950380000001,0.702818670348534,1.0,307,0,0.7193571504514282,15.234752337172699,132.24694089477654,0.6592833149153483,37.22109080788261,True,1,1,1.2999999999999998
2024-06-05 03:00:00,1.5,0.138414081,0.06433965800000001,0.6805134989348537,1.0,307,0,0.5564999794800022,12.108454310434864,117.0165029866298,0.6093760472075852,32.5674207241653,True,6,1,1.2999999999999998
2024-06-04 09:00:00,1.7142857,0.11437887599999998,0.040684055899999995,0.6960939744462544,1.0,307,0,0.8136427989085767,9.91933844072753,73.76418024088632,0.6442369746553257,21.302290196219765,True,5,1,1.2999999999999998
2024-06-03 15:00:00,1.6154761599999998,0.149342549,0.034214981599999986,0.6889429209022805,1.0,307,0,0.6950713603942915,13.103814355435052,61.936009970394885,0.6282366697487799,19.097466558057803,True,3,1,1.2999999999999998
2024-06-27 17:00:00,12.900000099999996,0.5085315249999999,0.00023528166199999998,0.98397007276873,1.0,307,0,14.236499005080079,45.81858785478843,0.0,1.2883526032325827,16.630674505960023,True,19,1,1.2999999999999998
2024-06-26 16:00:00,6.5,0.2682018799999999,0.000549366382,0.9868543944951143,1.0,307,0,6.556499499480042,23.92946979523248,0.38120157078335787,1.2948062015432273,8.56666359655346,True,17,1,1.2999999999999998
2024-06-02 00:00:00,2.0,0.0092682225,0.008405644700000001,0.5901423796840393,1.0,307,0,1.1564999314800062,0.34590648322359147,14.745760289435575,0.40717290974438747,4.238767605644452,False,0,0,1.2999999999999998
2024-06-01 23:00:00,1.0291666199999996,0.0567081074,0.0054677549,0.6262454802638435,1.0,307,0,0.0,4.666710274648679,9.37407043415906,0.4879527016724378,3.5833880824528004,False,0,0,1.2999999999999998
2024-06-10 03:00:00,1.6666666,0.04511646509999998,0.004011833469999998,0.6403215036677522,1.0,307,0,0.7564998834800101,3.6109486069241545,6.712037850223925,0.5194474548510102,2.9234386917326747,True,9,1,1.2999999999999998
2024-06-27 00:00:00,6.142857,0.0012261352099999995,0.000160106155,0.3385481322866451,1.0,307,0,6.127927933765767,0.0,0.0,0.0,2.1447747768180183,True,18,1,1.2999999999999998
2024-06-17 02:00:00,2.0,0.03914696349999998,0.002452510479999999,0.38409755529315964,1.0,307,0,1.1564999314800062,3.067249034284632,3.860944018698171,0.0,2.1368232392637028,True,15,1,1.2999999999999998
2024-06-08 21:00:00,1.25,0.036652285699999995,0.0031021317999999987,0.5613073561661239,1.0,307,0,0.2565000034800003,2.840034880638489,5.04872317039247,0.3426552599411841,2.1133628029669174,True,8,1,1.2999999999999998
2024-06-03 23:00:00,1.3333334,0.034475030899999995,0.002731637899999999,0.6062856164234528,1.0,307,0,0.3565000754799944,2.6417314738201796,4.371305547692044,0.4432930014792385,1.9445282320179398,True,4,1,1.2999999999999998
2024-06-10 04:00:00,0.8333333,0.008438583499999998,0.004119734899999998,0.2038796153729642,1.0,307,0,0.0,0.27034332904919917,6.909326739991276,0.0,1.7949175172601188,False,0,0,1.2999999999999998
2024-06-25 05:00:00,1.3333334,0.0451398269,0.0019617582999999997,0.483738616364821,1.0,307,0,0.3565000754799944,3.6130763893634956,2.963644022367189,0.169097128904221,1.7943196986863026,True,16,1,1.2999999999999998
2024-06-01 21:00:00,1.6666666,0.064156335,0.0005220112959999999,0.6641462423159613,1.0,307,0,0.7564998834800101,5.345091559116698,0.3311850460122731,0.5727547165497212,1.7697573179827044,False,0,0,1.2999999999999998
2024-06-04 04:00:00,1.641666639999999,0.0500276484,0.00118803312,0.7279334451335503,1.0,307,0,0.7264999338800048,4.058257015613478,1.5489511703146748,0.7154770004678944,1.763398573410224,True,0,0,1.2999999999999998
2024-06-04 00:00:00,1.6666666,0.018643509999999995,0.002711016319999999,0.6567009452117262,1.0,307,0,0.7564998834800101,1.1998035333764305,4.333600684805161,0.5560960489764696,1.7315404211098717,False,0,0,1.2999999999999998
2024-06-03 11:00:00,1.6333332999999988,0.019759257899999997,0.0026839485499999963,0.567210596501629,1.0,307,0,0.716499926680005,1.3014253599629995,4.284109493708077,0.35586361374861647,1.7005382298180634,True,0,0,1.2999999999999998
2024-06-08 22:00:00,1.3333334,0.018354521999999998,0.0029138340699999994,0.587988005973941,1.0,307,0,0.3565000754799944,1.173482633806197,4.7044362587416,0.40235255201216674,1.6546076323567722,False,0,0,1.2999999999999998
2024-06-14 02:00:00,3.0,0.015417674799999994,0.0015018346699999998,0.47332869048859916,1.0,307,0,2.356499835480014,0.9059958862446283,2.122711494035818,0.14580517799798698,1.6038225641878145,True,13,1,1.2999999999999998
2024-06-08 10:00:00,1.6666666,0.012323618999999978,0.002862957509999997,0.4573766804690554,1.0,307,0,0.7564998834800101,0.6241906487382268,4.6114126534234625,0.11011295130503222,1.5901927274541807,True,7,1,1.2999999999999998
