epoch,loss_total,loss_pred,loss_phy,loss_dyn,loss_imp,loss_moe,val_mae
1,0.78465574844317,0.78465574844317,0.0,,,117.9016657742587,0.09685410559177399
2,0.6907967637208375,0.6907967637208375,0.0,,,117.79077339172363,0.07239042967557907
3,0.6721601445566524,0.6721601445566524,0.0,,,117.64501112157649,0.05971274897456169
4,0.6539132970977913,0.6539132970977913,0.0,,,117.57864561947909,0.057157643139362335
5,0.6496318731118332,0.6496318731118332,0.0,,,117.47789868441495,0.055783893913030624
6,0.6417887193912809,0.6417887193912809,0.0,,,117.42648948322643,0.0559479184448719
7,0.6258764415979385,0.6258764415979385,0.0,,,117.29626872322775,0.058839716017246246
8,0.6256359175524928,0.6256359175524928,0.0,,,117.22293550317937,0.05868304893374443
9,0.6112785617058928,0.6112785617058928,0.0,,,117.1492057280107,0.06371743977069855
10,0.5999320701441981,0.5999320701441981,0.0,,,117.00078470056707,0.07070088386535645
11,0.5910740785978057,0.5910740785978057,0.0,,,116.90308423475786,0.07130590826272964
12,0.5829814244061708,0.5829814244061708,0.0,,,116.78166103363037,0.08412577211856842
13,0.5780568498779427,0.5780568498779427,0.0,,,116.70710763064298,0.08542966842651367
14,0.5778563500128009,0.5778563500128009,0.0,,,116.68594403700395,0.09228075295686722
15,0.565331579270688,0.565331579270688,0.0,,,116.70044309442693,0.09872541576623917
16,0.5662458017468452,0.5662458017468452,0.0,,,116.7550856850364,0.10500171780586243
17,0.5612752369859002,0.5612752369859002,0.0,,,116.77044114199552,0.11320564895868301
18,0.5587555427442897,0.5587555427442897,0.0,,,116.75956171209162,0.11599011719226837
19,0.5509652126241814,0.5509652126241814,0.0,,,116.7712645964189,0.11960672587156296
20,0.5529821948571638,0.5529821948571638,0.0,,,116.88539929823442,0.11985062062740326
21,0.548329253427007,0.548329253427007,0.0,,,116.9263408834284,0.12007882446050644
22,0.5468491884795103,0.5468491884795103,0.0,,,116.96803431077437,0.11985959857702255
23,0.5399322408166799,0.5399322408166799,0.0,,,117.0518572547219,0.12581367790699005
24,0.5384983782741156,0.5384983782741156,0.0,,,117.11724532734264,0.12302704900503159
25,0.5376093936237422,0.5376093936237422,0.0,,,117.12817876989192,0.12680453062057495
26,0.5328357880088416,0.5328357880088416,0.0,,,117.23537852547385,0.13099738955497742
27,0.5291910009797324,0.5291910009797324,0.0,,,117.2134964682839,0.12745150923728943
28,0.5286291790279475,0.5286291790279475,0.0,,,117.30173188989812,0.12959346175193787
29,0.5286698913709684,0.5286698913709684,0.0,,,117.29708489504728,0.12893596291542053
30,0.5237344046207991,0.5237344046207991,0.0,,,117.38644565235485,0.13854654133319855
