epoch,loss_total,loss_pred,loss_phy,loss_dyn,loss_imp,loss_moe,val_mae
1,0.8256836960261519,0.8256836960261519,0.0,,,115.50461656397039,0.07629510015249252
2,0.6648589301515709,0.6648589301515709,0.0,,,115.98879094557329,0.06723867356777191
3,0.6111630077727817,0.6111630077727817,0.0,,,116.15257809378885,0.06348022073507309
4,0.5875048911706968,0.5875048911706968,0.0,,,116.28355659138073,0.06959444284439087
5,0.5662054373798046,0.5662054373798046,0.0,,,116.34676803242077,0.0752396434545517
6,0.5573533136736263,0.5573533136736263,0.0,,,116.43957476182418,0.08132694661617279
7,0.5455073118209839,0.5455073118209839,0.0,,,116.48355544697155,0.0885031595826149
8,0.5410645384002816,0.5410645384002816,0.0,,,116.5937569358132,0.08627736568450928
9,0.5328692419623787,0.5328692419623787,0.0,,,116.60940777171741,0.09061567485332489
10,0.5222958544777199,0.5222958544777199,0.0,,,116.6962400783192,0.08581762760877609
11,0.5171007647771727,0.5171007647771727,0.0,,,116.74250585382634,0.08664163947105408
12,0.5103731778534976,0.5103731778534976,0.0,,,116.74936103820801,0.09806245565414429
13,0.5077758280729706,0.5077758280729706,0.0,,,116.81516395915638,0.09051435440778732
14,0.4988919838585637,0.4988919838585637,0.0,,,116.83246551860462,0.09449291229248047
15,0.4952510441230102,0.4952510441230102,0.0,,,116.84072841297497,0.09458155184984207
16,0.48778167650611565,0.48778167650611565,0.0,,,116.86459203199907,0.09500396251678467
17,0.48484963618896226,0.48484963618896226,0.0,,,116.9470764506947,0.10155698657035828
18,0.48465606417845597,0.48465606417845597,0.0,,,116.92467334053732,0.09774793684482574
19,0.48101163198324765,0.48101163198324765,0.0,,,116.89335268194026,0.10134980827569962
20,0.475317208096385,0.475317208096385,0.0,,,116.8452603600242,0.0974910631775856
21,0.474109329960563,0.474109329960563,0.0,,,116.90684474598278,0.10568864643573761
22,0.4664730572734367,0.4664730572734367,0.0,,,116.85392501137473,0.09892930835485458
23,0.4708467068319971,0.4708467068319971,0.0,,,116.78739383003928,0.10623113811016083
24,0.4628686663610014,0.4628686663610014,0.0,,,116.78863915530118,0.10623884946107864
25,0.4627368419685147,0.4627368419685147,0.0,,,116.71192507310347,0.10719242691993713
26,0.4613255174322562,0.4613255174322562,0.0,,,116.70419146797873,0.10303952544927597
27,0.4578797776590694,0.4578797776590694,0.0,,,116.71002171256326,0.10307352244853973
28,0.4526109177280556,0.4526109177280556,0.0,,,116.58339483087713,0.10506071150302887
29,0.4536188007755713,0.4536188007755713,0.0,,,116.55326210368763,0.10693281888961792
30,0.4479041619395668,0.4479041619395668,0.0,,,116.51525896245784,0.1089269146323204
