epoch,loss_total,loss_pred,loss_phy,loss_dyn,loss_imp,loss_moe,val_mae
1,0.920274496417154,0.920274496417154,,,,,0.05753624439239502
2,0.829421939836307,0.829421939836307,,,,,0.05619167909026146
3,0.7927179475399581,0.7927179475399581,,,,,0.05581692233681679
4,0.7670703614977273,0.7670703614977273,,,,,0.05642789602279663
5,0.741145059466362,0.741145059466362,,,,,0.056711215525865555
6,0.725051515143026,0.725051515143026,,,,,0.05791574344038963
7,0.7175494114106352,0.7175494114106352,,,,,0.058255162090063095
8,0.7038599513471127,0.7038599513471127,,,,,0.05971618741750717
9,0.691945156590505,0.691945156590505,,,,,0.06061681732535362
10,0.6808078573508696,0.6808078573508696,,,,,0.060708221048116684
11,0.6773219735107638,0.6773219735107638,,,,,0.0641646683216095
12,0.6713839556005868,0.6713839556005868,,,,,0.06407910585403442
13,0.659349424764514,0.659349424764514,,,,,0.0639118105173111
14,0.660458014939319,0.660458014939319,,,,,0.06532019376754761
15,0.6563913060182874,0.6563913060182874,,,,,0.06533690541982651
16,0.6475572311742739,0.6475572311742739,,,,,0.06491225957870483
17,0.645950476554307,0.645950476554307,,,,,0.06724116951227188
18,0.6380411914803765,0.6380411914803765,,,,,0.06702405959367752
19,0.6384408443488858,0.6384408443488858,,,,,0.0674569383263588
20,0.630289863795042,0.630289863795042,,,,,0.06754674017429352
21,0.6301334608684886,0.6301334608684886,,,,,0.06745965778827667
22,0.6278969391503118,0.6278969391503118,,,,,0.06735909730195999
23,0.6261835460635748,0.6261835460635748,,,,,0.06764619052410126
24,0.6209758093411272,0.6209758093411272,,,,,0.06786972284317017
25,0.6189941140738401,0.6189941140738401,,,,,0.06674815714359283
26,0.6225996572862972,0.6225996572862972,,,,,0.06646958738565445
27,0.6194549223238771,0.6194549223238771,,,,,0.06711877882480621
28,0.6195508576929569,0.6195508576929569,,,,,0.06789428740739822
29,0.6154676452279091,0.6154676452279091,,,,,0.06676595658063889
30,0.6148364303464239,0.6148364303464239,,,,,0.06551870703697205
