epoch,loss_total,loss_pred,loss_phy,loss_dyn,loss_imp,loss_moe,val_mae
1,0.7987072674388235,0.7987072674388235,,,,,0.14115667343139648
2,0.7934305999766696,0.7934305999766696,,,,,0.1342662125825882
3,0.7497554062442346,0.7497554062442346,,,,,0.11662924289703369
4,0.7030938206748529,0.7030938206748529,,,,,0.09946953505277634
5,0.6554218131032857,0.6554218131032857,,,,,0.08817178755998611
6,0.629619493403218,0.629619493403218,,,,,0.07926100492477417
7,0.6102885048497807,0.6102885048497807,,,,,0.07326525449752808
8,0.5980859222737226,0.5980859222737226,,,,,0.0684242844581604
9,0.5924523191695864,0.5924523191695864,,,,,0.06473809480667114
10,0.5905589793216098,0.5905589793216098,,,,,0.06204252690076828
11,0.5842736392197284,0.5842736392197284,,,,,0.06068606302142143
12,0.5794204133139416,0.5794204133139416,,,,,0.058229416608810425
13,0.576521659777923,0.576521659777923,,,,,0.0566021166741848
14,0.5738139724866911,0.5738139724866911,,,,,0.05605454742908478
15,0.5746907148171555,0.5746907148171555,,,,,0.0558314174413681
16,0.5711828121407465,0.5711828121407465,,,,,0.05540602654218674
17,0.5729364993220026,0.5729364993220026,,,,,0.055039551109075546
18,0.5642949694936926,0.5642949694936926,,,,,0.0540560707449913
19,0.5644506490366026,0.5644506490366026,,,,,0.053466007113456726
20,0.559563568031246,0.559563568031246,,,,,0.053357820957899094
21,0.5553338934074749,0.5553338934074749,,,,,0.05475238338112831
22,0.5567630653015592,0.5567630653015592,,,,,0.05270630866289139
23,0.5545030710372058,0.5545030710372058,,,,,0.05311518535017967
24,0.5519916250963103,0.5519916250963103,,,,,0.053077664226293564
25,0.5486647969281132,0.5486647969281132,,,,,0.05240614712238312
26,0.5470237115567381,0.5470237115567381,,,,,0.05243994668126106
27,0.5448710794814609,0.5448710794814609,,,,,0.05232451111078262
28,0.5408713416281071,0.5408713416281071,,,,,0.05195911228656769
29,0.5439441336149519,0.5439441336149519,,,,,0.05216440185904503
30,0.5423564738170668,0.5423564738170668,,,,,0.052264101803302765
