epoch,loss_total,loss_pred,loss_phy,loss_dyn,loss_imp,loss_moe,val_mae
1,0.9426437182859941,0.9426437182859941,,,,,0.06011416018009186
2,0.8343826363032515,0.8343826363032515,,,,,0.05855708196759224
3,0.7920317500829697,0.7920317500829697,,,,,0.058671340346336365
4,0.7721355747092854,0.7721355747092854,,,,,0.05865660309791565
5,0.7507231990722093,0.7507231990722093,,,,,0.0601387582719326
6,0.7331840070811185,0.7331840070811185,,,,,0.057991933077573776
7,0.7246289483525536,0.7246289483525536,,,,,0.05854753777384758
8,0.7115883295508948,0.7115883295508948,,,,,0.05959547311067581
9,0.7033946107734333,0.7033946107734333,,,,,0.058081816881895065
10,0.7025732472538948,0.7025732472538948,,,,,0.058843448758125305
11,0.6902602514760061,0.6902602514760061,,,,,0.056122709065675735
12,0.6910888891328465,0.6910888891328465,,,,,0.05828160420060158
13,0.6843265891075134,0.6843265891075134,,,,,0.0558621883392334
14,0.6790098029781472,0.6790098029781472,,,,,0.054778918623924255
15,0.6821724220433019,0.6821724220433019,,,,,0.05441112443804741
16,0.6741607717492364,0.6741607717492364,,,,,0.05417783930897713
17,0.6674515268003399,0.6674515268003399,,,,,0.05410274118185043
18,0.6692482663149183,0.6692482663149183,,,,,0.052394330501556396
19,0.6660679568621245,0.6660679568621245,,,,,0.05202455818653107
20,0.6648304628377611,0.6648304628377611,,,,,0.05078621953725815
21,0.6680199229581789,0.6680199229581789,,,,,0.04995947331190109
22,0.6696944849734957,0.6696944849734957,,,,,0.04823678731918335
23,0.6655329757116057,0.6655329757116057,,,,,0.04925430938601494
24,0.6695392335003073,0.6695392335003073,,,,,0.048803314566612244
25,0.6706819859418002,0.6706819859418002,,,,,0.04745488986372948
26,0.6757176271216436,0.6757176271216436,,,,,0.04493248462677002
27,0.6748313450000503,0.6748313450000503,,,,,0.046000514179468155
28,0.6807479695840315,0.6807479695840315,,,,,0.04532219097018242
29,0.6830488026819446,0.6830488026819446,,,,,0.045758895576000214
30,0.6872902099381794,0.6872902099381794,,,,,0.0469297431409359
