epoch,loss_total,loss_pred,loss_phy,loss_dyn,loss_imp,loss_moe,val_mae
1,0.8990211825479161,0.8990211825479161,0.0,,,115.39906857230447,0.08581586182117462
2,0.7487578151578252,0.7487578151578252,0.0,,,115.47385267777877,0.07553695142269135
3,0.6925654218278148,0.6925654218278148,0.0,,,115.57941089976917,0.06776431202888489
4,0.6640092618763447,0.6640092618763447,0.0,,,115.66701429540461,0.06681168079376221
5,0.6375292888419195,0.6375292888419195,0.0,,,115.75751729445024,0.061449985951185226
6,0.6218906441195444,0.6218906441195444,0.0,,,115.81886785680598,0.06279882043600082
7,0.6006075577302412,0.6006075577302412,0.0,,,115.882774959911,0.06268966197967529
8,0.5922508514062925,0.5922508514062925,0.0,,,115.95882337743586,0.06479570269584656
9,0.5823330527002161,0.5823330527002161,0.0,,,116.03147394006902,0.06507831811904907
10,0.5746395212005485,0.5746395212005485,0.0,,,116.09060200777921,0.06673242151737213
11,0.5706281176006253,0.5706281176006253,0.0,,,116.14203080264005,0.06803690642118454
12,0.5638411561535164,0.5638411561535164,0.0,,,116.18978509035978,0.06801103055477142
13,0.5554580454799262,0.5554580454799262,0.0,,,116.22274771603671,0.06940425932407379
14,0.5494125121357766,0.5494125121357766,0.0,,,116.28784292394465,0.07288883626461029
15,0.5463870811191472,0.5463870811191472,0.0,,,116.3462346683849,0.07262960821390152
16,0.5475757944990288,0.5475757944990288,0.0,,,116.38946611231023,0.07365401089191437
17,0.5437572893093933,0.5437572893093933,0.0,,,116.42728658155961,0.07512762397527695
18,0.5396425100890073,0.5396425100890073,0.0,,,116.47488281943582,0.0741695687174797
19,0.5321668907999992,0.5321668907999992,0.0,,,116.5361999164928,0.07288806885480881
20,0.529273156246001,0.529273156246001,0.0,,,116.5554651780562,0.07467582821846008
21,0.5336847518655387,0.5336847518655387,0.0,,,116.58887594396418,0.07566080242395401
22,0.5257366479120471,0.5257366479120471,0.0,,,116.65644472295588,0.07372556626796722
23,0.5213072057813406,0.5213072057813406,0.0,,,116.65982246398926,0.07507328689098358
24,0.5181511080061848,0.5181511080061848,0.0,,,116.71043031865901,0.0748484879732132
25,0.5172578450292349,0.5172578450292349,0.0,,,116.77467753670432,0.07340338826179504
26,0.5152000124481592,0.5152000124481592,0.0,,,116.76752896742387,0.07430174201726913
27,0.5156950931996107,0.5156950931996107,0.0,,,116.8285115848888,0.07419608533382416
28,0.5134209997274659,0.5134209997274659,0.0,,,116.84180051630193,0.07427652180194855
29,0.5076642195609483,0.5076642195609483,0.0,,,116.8817342411388,0.07589574158191681
30,0.5068545131520792,0.5068545131520792,0.0,,,116.89953882044011,0.07734689861536026
