source,variant_name,variant_family,row_count,nonzero_patch_ratio,p50,p90,p99,max,blast_hour_nonzero_ratio,nonblast_hour_nonzero_ratio,blast_hour_p50,blast_hour_p90,nonblast_hour_p50,nonblast_hour_p90,disp_max_best_lag,disp_max_best_corr,active_ratio_best_lag,active_ratio_best_corr,spatial_cutoff,temporal_cutoff,normalization
current,V3a_truncated_Rc40_Hc12,V3a_truncated,221760,0.07769209956709956,0.0,0.0,342.17215606689473,1117.376220703125,0.08122579175210755,0.07738829797653327,0.0,0.0,0.0,0.0,4,0.03865584012242848,4,0.03734189818761634,40.0,12.0,
current,V3a_truncated_Rc40_Hc24,V3a_truncated,221760,0.14488185425685426,0.0,72.6636573791504,359.31261047363284,1117.376220703125,0.15333789017999544,0.14415486474310005,0.0,67.56053924560547,0.0,72.999903869629,0,0.03789613024613544,3,0.03440533904184756,40.0,24.0,
current,V3a_truncated_Rc40_Hc6,V3a_truncated,221760,0.04138257575757576,0.0,0.0,300.17232025146495,909.6588134765625,0.07216905901116427,0.03873577402989168,0.0,0.0,0.0,0.0,8,0.0321815427029036,11,0.028622364499449483,40.0,6.0,
current,V3a_truncated_Rc60_Hc12,V3a_truncated,221760,0.16741973304473304,0.0,95.63804473876954,371.27491638183596,1117.376220703125,0.17549555707450445,0.1667254314313138,0.0,136.98208618164062,0.0,92.60488586425787,1,0.058138315127871404,4,0.07140535570757599,60.0,12.0,
current,V3a_truncated_Rc60_Hc24,V3a_truncated,221760,0.30436056998557,0.0,121.7686965942383,386.6678125000002,1117.376220703125,0.323194349510139,0.302741376270788,0.0,148.73760223388672,0.0,119.8703659057618,0,0.06308056718366552,3,0.07290389462018546,60.0,24.0,
current,V3a_truncated_Rc60_Hc6,V3a_truncated,221760,0.09114808802308802,0.0,0.0,323.8007235717775,909.6588134765625,0.15550239234449761,0.08561536502712973,0.0,124.97936630249023,0.0,0.0,8,0.04824989391020943,10,0.05554549740908527,60.0,6.0,
current,V3a_truncated_Rc80_Hc12,V3a_truncated,221760,0.25260642135642136,0.0,105.18466567993165,376.5125469970707,1117.376220703125,0.26657552973342447,0.2514054572878102,0.0,144.7951431274414,0.0,102.31561737060548,1,0.06567873340652637,4,0.0758838084395874,80.0,12.0,
current,V3a_truncated_Rc80_Hc24,V3a_truncated,221760,0.4492018398268398,0.0,129.818441772461,390.7591586303711,1117.376220703125,0.4813738892686261,0.4464359170241523,0.0,158.09776306152344,0.0,127.74578323364258,0,0.07211288309555934,3,0.07727644420344339,80.0,24.0,
current,V3a_truncated_Rc80_Hc6,V3a_truncated,221760,0.1397501803751804,0.0,48.67245254516603,327.4500051879883,909.6588134765625,0.23661426293005242,0.13142249906955789,0.0,131.46749877929688,0.0,40.562740325927756,8,0.05412497141074495,10,0.05927082744576388,80.0,6.0,
current,V3b_max_local,V3b_max_local,221760,0.9847222222222223,8.69072675704956,95.95673446655276,265.10755187988286,504.53900146484375,0.9824561403508771,0.9849170437405732,8.568846702575684,124.81857299804688,8.697468757629395,94.37374420166019,4,0.04650363051888966,4,0.049465097030017495,,,
current,V3c_local_contrast_median_iqr,V3c_local_contrast,221760,0.9847222222222223,0.0,1.6411164999008179,5.118697643280029,14.037616729736328,0.9824561403508771,0.9849170437405732,0.0,1.779052495956421,0.0,1.6284422874450684,22,0.015545280972408041,22,0.03893028778143699,,,median_iqr
current,V3c_local_contrast_zscore,V3c_local_contrast,221760,0.9847222222222223,-0.4062841981649399,1.4957307696342468,3.304180860519409,5.004722595214844,0.9824561403508771,0.9849170437405732,-0.43353191018104553,1.498223066329956,-0.40324854850769043,1.494378924369812,24,0.03211350382685361,24,0.05023253561780401,,,zscore
current,V3_reference,reference,221760,0.9847222222222223,13.410101999999998,143.36909100000005,407.5234029000001,1130.3949,0.9824561403508771,0.9849170437405732,12.942419999999998,168.22193,13.4431475,141.728314,0,0.07524329960566946,3,0.07763974352919109,,,
proxy,V3a_truncated_Rc40_Hc12,V3a_truncated,221760,0.13368506493506493,0.0,124.32286987304687,416.140707397461,916.8370971679688,0.24834814308498518,0.12382715323891795,0.0,314.0827331542969,0.0,105.7852424621584,1,0.061682524543041586,4,0.0902823528994954,40.0,12.0,
proxy,V3a_truncated_Rc40_Hc24,V3a_truncated,221760,0.24527867965367967,0.0,145.8207550048828,420.7620434570314,916.8370971679688,0.3613579403053087,0.2352990147107794,0.0,319.9634094238281,0.0,132.5579803466797,1,0.06649008726949589,4,0.0956316728047222,40.0,24.0,
proxy,V3a_truncated_Rc40_Hc6,V3a_truncated,221760,0.07481060606060606,0.0,0.0,389.42785675048856,916.8370971679688,0.23712690817953977,0.060855810855810856,0.0,307.1068572998047,0.0,0.0,9,0.04902725145847214,4,0.06928992763371065,40.0,6.0,
proxy,V3a_truncated_Rc60_Hc12,V3a_truncated,221760,0.2353896103896104,0.0,165.6914947509766,483.05127868652346,945.3917236328125,0.433526999316473,0.21835517423752718,0.0,382.45008850097656,0.0,144.11356964111337,1,0.07740446704829694,4,0.10590298783100853,60.0,12.0,
proxy,V3a_truncated_Rc60_Hc24,V3a_truncated,221760,0.41253607503607503,0.0,187.59232177734376,488.61931243896487,945.3917236328125,0.5754158122579175,0.3985328397093103,43.172773361206055,390.3234558105469,0.0,169.35762481689457,1,0.08400170908824282,4,0.11120375972909198,60.0,24.0,
proxy,V3a_truncated_Rc60_Hc6,V3a_truncated,221760,0.1359848484848485,0.0,111.87099838256839,455.8679864501959,945.3917236328125,0.42190704032809295,0.11140330257977317,0.0,365.54888916015625,0.0,70.34930648803729,9,0.061643434743183075,4,0.08188270343547999,60.0,6.0,
