variant_name,variant_family,source_count,total_score_mean,nonzero_patch_ratio_mean,nonblast_hour_nonzero_ratio_mean,blast_hour_p90_mean,nonblast_hour_p90_mean,disp_max_best_corr_mean,active_ratio_best_corr_mean
V3a_truncated_Rc60_Hc6,V3a_truncated,2,6.322363600847005,0.11356646825396825,0.09850933380345145,245.26412773132324,35.17465324401864,0.05494666432669625,0.06871410042228263
V3a_truncated_Rc40_Hc6,V3a_truncated,2,5.44131649280375,0.05809659090909091,0.04979579244285127,153.55342864990234,0.0,0.04060439708068787,0.04895614606658007
V3a_truncated_Rc80_Hc6,V3a_truncated,2,3.0300207809722313,0.16513798701298701,0.1442405633582104,260.3380126953125,61.439870834350685,0.06051180528306235,0.07254121880592337
V3a_truncated_Rc60_Hc12,V3a_truncated,2,1.5317639084840504,0.20140467171717172,0.19254030283442047,259.7160873413086,118.35922775268563,0.06777139108808417,0.08865417176929226
V3a_truncated_Rc80_Hc12,V3a_truncated,2,1.4914048184303976,0.28628472222222223,0.2741572153336859,276.3175392150879,128.911434173584,0.07497120310783917,0.0933495243896432
V3a_truncated_Rc40_Hc12,V3a_truncated,2,1.2256909989957052,0.10568858225108224,0.1006077256077256,157.04136657714844,52.8926212310792,0.050169182332735034,0.06381212554355586
V3a_truncated_Rc60_Hc24,V3a_truncated,2,1.0800185515699166,0.3584483225108225,0.35063710799004916,269.5305290222168,144.6139953613282,0.07354113813595417,0.09205382717463872
V3a_truncated_Rc80_Hc24,V3a_truncated,2,0.9867252058146028,0.49382665945165943,0.48439305792246967,286.4008483886719,155.12989921569826,0.08199558546571314,0.09672065420239981
V3a_truncated_Rc40_Hc24,V3a_truncated,2,0.8964873782638493,0.19508026695526698,0.18972693972693971,193.7619743347168,102.77894210815435,0.05219310875781566,0.06501850592328488
V3b_max_local,V3b_max_local,2,0.2283171527979584,0.9854166666666667,0.9849170437405732,201.89556121826172,111.39776000976565,0.05948429390932299,0.06772073842516374
V3c_local_contrast_median_iqr,V3c_local_contrast,2,-0.7030131483451032,0.9854166666666667,0.9849170437405732,1.5647566616535187,1.417052149772644,0.018591571314917812,0.040816941945275215
V3c_local_contrast_zscore,V3c_local_contrast,2,-0.7630815777148428,0.9854166666666667,0.9849170437405732,1.5229078531265259,1.4930704832077026,0.02839335347951881,0.04956865212127934
