timestamp,truth,c2,c3,blast_flag,sample_id,patch_id
2024-06-27 12:00:00,0.07623626291751862,0.0859697014093399,0.04717826098203659,0,532,ps10_v2_p155
2024-06-27 13:00:00,0.07889194786548615,0.10008258372545242,0.034975387156009674,0,532,ps10_v2_p155
2024-06-27 14:00:00,0.10765224695205688,0.048635341227054596,0.08364646136760712,0,532,ps10_v2_p155
2024-06-27 15:00:00,0.06939102709293365,0.022686541080474854,0.03157959133386612,1,532,ps10_v2_p155
2024-06-27 16:00:00,0.08422619104385376,0.03639589995145798,0.06800519675016403,0,532,ps10_v2_p155
2024-06-27 17:00:00,4.157745838165283,0.07188493758440018,0.03892568498849869,0,532,ps10_v2_p155
2024-06-27 18:00:00,0.04505876079201698,0.07664129137992859,0.05707462877035141,0,532,ps10_v2_p155
2024-06-27 19:00:00,0.061164531856775284,0.0468500554561615,0.06094634532928467,0,532,ps10_v2_p155
2024-06-27 20:00:00,0.06009615585207939,0.09474493563175201,0.05531672388315201,0,532,ps10_v2_p155
2024-06-27 21:00:00,0.04014423117041588,0.07349751889705658,0.06110396981239319,0,532,ps10_v2_p155
2024-06-27 22:00:00,0.05419337749481201,0.047835059463977814,0.08060846477746964,0,532,ps10_v2_p155
2024-06-27 23:00:00,0.06965812295675278,0.050821468234062195,0.05516219139099121,0,532,ps10_v2_p155
