seq_len,pred_len,learning_rate,dropout,resolved_patch_len,resolved_stride,best_epoch,train_samples,val_samples,test_samples,val_mae,val_rmse,val_mse,test_mae,test_rmse,test_mse,blast_test_mae,blast_test_rmse,blast_test_mse,rain_test_mae,rain_test_rmse,rain_test_mse,non_event_test_mae,non_event_test_rmse,non_event_test_mse,checkpoint_path,history_path
24,12,0.0001,0.1,8,8,1,421,117,117,0.05408981814980507,0.0796709349655921,0.006347457878291607,0.1874213069677353,0.4901340275531162,0.24023136496543884,0.14619015157222748,0.244082985749675,0.059576503932476044,0.15366649627685547,0.4238359301151634,0.1796368956565857,0.19629031419754028,0.5134903909904065,0.2636723816394806,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/checkpoints/tf_sl24_lr1em04_do0p1_best.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/histories/tf_sl24_lr1em04_do0p1_history.csv
24,12,0.0001,0.2,8,8,1,421,117,117,0.05476265773177147,0.08134512113121949,0.00661702873185277,0.19090071320533752,0.4912024434684343,0.24127984046936035,0.15490679442882538,0.26571007375988126,0.07060184329748154,0.16071657836437225,0.4298977077595164,0.1848120391368866,0.198508158326149,0.512794063685361,0.26295775175094604,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/checkpoints/tf_sl24_lr1em04_do0p2_best.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/histories/tf_sl24_lr1em04_do0p2_history.csv
24,12,0.0001,0.3,8,8,1,421,117,117,0.054859671741724014,0.07984809284194419,0.006375717930495739,0.1972159594297409,0.5096225172257922,0.25971511006355286,0.14628320932388306,0.24593243534345663,0.06048276275396347,0.16138456761837006,0.4319936077143901,0.18661847710609436,0.20720051229000092,0.5360692165434768,0.2873702049255371,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/checkpoints/tf_sl24_lr1em04_do0p3_best.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/histories/tf_sl24_lr1em04_do0p3_history.csv
24,12,0.0003,0.1,8,8,1,421,117,117,0.05668213218450546,0.0805941938395073,0.006495424080640078,0.16879910230636597,0.47818978562592207,0.22866547107696533,0.11106520891189575,0.17983596307648358,0.03234097361564636,0.14968912303447723,0.4203468301643344,0.1766914576292038,0.1753300279378891,0.5011641242363779,0.2511654794216156,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/checkpoints/tf_sl24_lr3em04_do0p1_best.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/histories/tf_sl24_lr3em04_do0p1_history.csv
24,12,0.0003,0.2,8,8,1,421,117,117,0.051508765667676926,0.07909960803219339,0.006256747990846634,0.1731785088777542,0.4819982421554074,0.2323223054409027,0.12966333329677582,0.21376157792005537,0.0456940121948719,0.15089403092861176,0.4245479992092125,0.18024100363254547,0.17953775823116302,0.5040976286612326,0.25411441922187805,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/checkpoints/tf_sl24_lr3em04_do0p2_best.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/histories/tf_sl24_lr3em04_do0p2_history.csv
24,12,0.0003,0.3,8,8,1,421,117,117,0.05322575196623802,0.07968550181688533,0.006349779199808836,0.16773578524589539,0.475918381445366,0.2264983057975769,0.11474849283695221,0.18506737036513973,0.0342499315738678,0.15062430500984192,0.4206699007564154,0.17696316540241241,0.17358821630477905,0.498162932991776,0.2481663078069687,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/checkpoints/tf_sl24_lr3em04_do0p3_best.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/histories/tf_sl24_lr3em04_do0p3_history.csv
24,12,0.0005,0.1,8,8,1,421,117,117,0.06131710857152939,0.08394014779751911,0.007045948412269354,0.1657939851284027,0.4785855767638475,0.22904415428638458,0.11388517916202545,0.1880142392158399,0.03534935414791107,0.14884772896766663,0.41973670602845664,0.17617890238761902,0.17144057154655457,0.5015969404238303,0.2515994906425476,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/checkpoints/tf_sl24_lr5em04_do0p1_best.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/histories/tf_sl24_lr5em04_do0p1_history.csv
24,12,0.0005,0.2,8,8,1,421,117,117,0.056984905153512955,0.0816992102323633,0.006674760952591896,0.16612538695335388,0.4799332774995295,0.23033595085144043,0.11173222959041595,0.18069822658524629,0.03265184909105301,0.14660850167274475,0.42105793420219545,0.17728978395462036,0.17264503240585327,0.5031905303359689,0.2532007098197937,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/checkpoints/tf_sl24_lr5em04_do0p2_best.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/histories/tf_sl24_lr5em04_do0p2_history.csv
24,12,0.0005,0.3,8,8,1,421,117,117,0.057851072400808334,0.08202032175385784,0.006727333180606365,0.1705591380596161,0.48102489321863967,0.23138494789600372,0.11295920610427856,0.18768101140536556,0.03522416204214096,0.1517319679260254,0.4215803000083441,0.17772994935512543,0.17708586156368256,0.5042822270589273,0.2543005645275116,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/checkpoints/tf_sl24_lr5em04_do0p3_best.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/histories/tf_sl24_lr5em04_do0p3_history.csv
48,12,0.0001,0.1,8,8,1,397,117,117,0.05533856898546219,0.0851227162768313,0.0072458768263459206,0.19740962982177734,0.4958344029433737,0.24585175514221191,0.1456669270992279,0.22390921556807544,0.05013533681631088,0.16338182985782623,0.42291176523772755,0.17885436117649078,0.20712117850780487,0.5215098914143746,0.27197256684303284,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/checkpoints/tf_sl48_lr1em04_do0p1_best.pt,/root/autodl-tmp/Time-Series-Library/outputs/slopemine_v2/timefilter_retune/histories/tf_sl48_lr1em04_do0p1_history.csv
