epoch,seq_len,learning_rate,dropout,train_loss,val_mae,val_rmse,val_mse
1,24,0.0001,0.2,1.0491163708129019,0.05408954992890358,0.07966744553903157,0.0063469018787145615
2,24,0.0001,0.2,0.9815525491282625,0.05467341095209122,0.07999359880110166,0.006398975849151611
3,24,0.0001,0.2,0.9534644709443146,0.055378179997205734,0.08041696270870079,0.006466887891292572
4,24,0.0001,0.2,0.936181329331308,0.05628657341003418,0.08071736728925326,0.0065152933821082115
5,24,0.0001,0.2,0.9182677032812586,0.05726587027311325,0.081246063934868,0.006600922904908657
6,24,0.0001,0.2,0.9052708014002386,0.058103401213884354,0.081612525900112,0.0066606043837964535
7,24,0.0001,0.2,0.8986850257189769,0.05906900018453598,0.08212510768075529,0.006744533311575651
8,24,0.0001,0.2,0.8894558110327091,0.06014889478683472,0.08275391512725112,0.006848210468888283
