timestamp,y_true,y_pred,risk_score,warning_level_raw,warning_level,event_flag,Velocity,Acceleration,pred_increment
2018-05-04 20:56:00,100.1085,100.3179681818183,0.013618820157828157,0,0,0,0.691,0.011999999999999629,0.9004681818182974
2018-05-04 21:03:00,100.6525,100.93940681818198,0.010214115118371118,0,0,0,0.544,-1.2599999999999991,0.8309068181819725
2018-05-04 21:10:00,101.114,101.45388409090918,0.007660586338778338,0,0,0,0.4615,-0.7071428571428573,0.8013840909091812
2018-05-04 21:17:00,101.4907,101.8261159090911,0.0057454397540837535,0,0,0,0.3767,-0.7268571428571432,0.7121159090910965
2018-05-04 21:24:00,101.6622,102.06193636363639,0.004309079815562816,0,0,0,0.1715,-1.7588571428571425,0.5712363636363875
2018-05-04 21:31:00,101.8337,102.1228522727275,0.0032318098616721117,0,0,0,0.1715,0.0,0.46065227272750064
2018-05-04 21:38:00,102.037,102.16217954545463,0.002423857396254084,0,0,0,0.2033,0.2725714285714285,0.3284795454546412
2018-05-04 21:45:00,102.2423,102.20986818181834,0.001817893047190563,0,0,0,0.2052,0.016285714285714157,0.1728681818183304
2018-05-04 21:52:00,102.6282,102.24714545454553,0.0013634197853929222,0,0,0,0.3859,1.5488571428571432,0.004845454545531425
2018-05-04 21:59:00,103.1369,102.44129090909105,0.05336962254200135,0,0,0,0.5087,1.0525714285714287,-0.18690909090895502
2018-05-04 22:06:00,103.6144,102.91531363636378,0.04434637264000201,0,0,0,0.4775,-0.26742857142857196,-0.22158636363622009
2018-05-04 22:13:00,103.9968,103.58242500000009,0.03325977948000151,0,0,0,0.3824,-0.8151428571428568,-0.031974999999917486
2018-05-04 22:20:00,104.3792,104.25255454545474,0.024944834610001132,0,0,0,0.3824,0.0,0.2557545454547494
2018-05-04 22:27:00,104.8254,104.85478409090915,0.01870862595750085,0,0,0,0.4461,0.5459999999999998,0.47558409090915177
2018-05-04 22:34:00,105.2786,105.42252727272736,0.014031469468125637,0,0,0,0.4533,0.061714285714285576,0.5971272727273629
2018-05-04 22:41:00,105.6399,105.92447727272737,0.010523602101094227,0,0,0,0.3613,-0.7885714285714283,0.6458772727273754
2018-05-04 22:48:00,105.9262,106.27239545454559,0.007892701575820671,0,0,0,0.2862,-0.6437142857142857,0.632495454545591
2018-05-04 22:55:00,106.2369,106.49599545454558,0.005919526181865503,0,0,0,0.3108,0.21085714285714294,0.5697954545455843
2018-05-04 23:02:00,106.6444,106.67732272727292,0.004439644636399127,0,0,0,0.4074,0.8279999999999996,0.4404227272729173
2018-05-04 23:09:00,107.0518,106.9361090909093,0.0033297334772993455,0,0,0,0.4074,0.0,0.2917090909092934
2018-05-04 23:16:00,107.4828,107.30488863636383,0.002497300107974509,0,0,0,0.431,0.20228571428571437,0.2530886363638274
2018-05-04 23:23:00,107.9178,107.75749318181828,0.001872975080980882,0,0,0,0.435,0.034285714285714315,0.27469318181827873
2018-05-04 23:30:00,108.3622,108.23413636363661,0.0014047313107356614,0,0,0,0.4443,0.0797142857142855,0.31633636363660855
2018-05-04 23:37:00,108.8156,108.7200500000001,0.001053548483051746,0,0,0,0.4534,0.07800000000000044,0.3578500000000986
2018-05-04 23:44:00,109.256,109.23325909090936,0.0007901613622888096,0,0,0,0.4404,-0.11142857142857153,0.4176590909093534
2018-05-04 23:51:00,109.6267,109.75187727272743,0.0005926210217166072,0,0,0,0.3706,-0.5982857142857145,0.49587727272742654
2018-05-04 23:58:00,109.9973,110.187815909091,0.0004444657662874554,0,0,0,0.3706,0.0,0.5611159090910007
2018-05-05 00:05:00,110.5838,110.53654090909097,0.0003333493247155916,0,0,0,0.5865,1.8505714285714288,0.539240909090978
2018-05-05 00:12:00,111.2212,110.99740681818194,0.009092072542126451,0,0,0,0.6375,0.43714285714285656,0.4136068181819468
2018-05-05 00:19:00,111.8545,111.6003795454547,0.011608171072491649,0,0,0,0.6332,-0.0368571428571426,0.3791795454547042
2018-05-05 00:26:00,112.4827,112.30354318181837,0.03037768769556074,0,0,0,0.6283,-0.042000000000000134,0.449043181818368
2018-05-05 00:33:00,113.0604,113.04010000000007,0.022783265771670558,0,0,0,0.5776,-0.4345714285714283,0.5574000000000723
2018-05-05 00:40:00,113.2377,113.74510454545474,0.01708744932875292,0,0,0,0.1774,-3.430285714285714,0.6847045454547356
2018-05-05 00:47:00,113.4151,114.1037068181819,0.012815586996564689,0,0,0,0.1774,0.0,0.8660068181819014
2018-05-05 00:54:00,113.8386,114.22129090909117,0.009611690247423517,0,0,0,0.4235,2.1094285714285714,0.8061909090911712
2018-05-05 01:01:00,114.338,114.37251363636378,0.007208767685567637,0,0,0,0.4994,0.6505714285714288,0.5339136363637778
2018-05-05 01:08:00,114.8834,114.623181818182,0.005406575764175728,0,0,0,0.5454,0.39428571428571413,0.2851818181820107
