timestamp,attention_weight
2024-06-22T11:00:00,0.010727119632065296
2024-06-22T12:00:00,0.010758072137832642
2024-06-22T13:00:00,0.01052312832325697
2024-06-22T14:00:00,0.01039090845733881
2024-06-22T15:00:00,0.010244064964354038
2024-06-22T16:00:00,0.010198879055678844
2024-06-22T17:00:00,0.010189961642026901
2024-06-22T18:00:00,0.010241039097309113
2024-06-22T19:00:00,0.010188546031713486
2024-06-22T20:00:00,0.010093565098941326
2024-06-22T21:00:00,0.01005573384463787
2024-06-22T22:00:00,0.010359992273151875
2024-06-22T23:00:00,0.010607965290546417
2024-06-23T00:00:00,0.010740512050688267
2024-06-23T01:00:00,0.011030266992747784
2024-06-23T02:00:00,0.01113288477063179
2024-06-23T03:00:00,0.01116853952407837
2024-06-23T04:00:00,0.011478489264845848
2024-06-23T05:00:00,0.011635959148406982
2024-06-23T06:00:00,0.01153834629803896
2024-06-23T07:00:00,0.011511662974953651
2024-06-23T08:00:00,0.011672277934849262
2024-06-23T09:00:00,0.011735767126083374
2024-06-23T10:00:00,0.011422200128436089
2024-06-23T11:00:00,0.011228186078369617
2024-06-23T12:00:00,0.011098263785243034
2024-06-23T13:00:00,0.010886628180742264
2024-06-23T14:00:00,0.010726355947554111
2024-06-23T15:00:00,0.010674509219825268
2024-06-23T16:00:00,0.010681034065783024
2024-06-23T17:00:00,0.01062833983451128
2024-06-23T18:00:00,0.010599639266729355
2024-06-23T19:00:00,0.010586570017039776
2024-06-23T20:00:00,0.010561401024460793
2024-06-23T21:00:00,0.010426538996398449
2024-06-23T22:00:00,0.010471809655427933
2024-06-23T23:00:00,0.01052143145352602
2024-06-24T00:00:00,0.010564392432570457
2024-06-24T01:00:00,0.010755607858300209
2024-06-24T02:00:00,0.010668053291738033
2024-06-24T03:00:00,0.010480906814336777
2024-06-24T04:00:00,0.010817423462867737
2024-06-24T05:00:00,0.010931374505162239
2024-06-24T06:00:00,0.010552998632192612
2024-06-24T07:00:00,0.010242228396236897
2024-06-24T08:00:00,0.010337906889617443
2024-06-24T09:00:00,0.010494091548025608
2024-06-24T10:00:00,0.010303177870810032
2024-06-24T11:00:00,0.010225961916148663
2024-06-24T12:00:00,0.010161051526665688
2024-06-24T13:00:00,0.01007644459605217
2024-06-24T14:00:00,0.009995182044804096
2024-06-24T15:00:00,0.00993095338344574
2024-06-24T16:00:00,0.00988206546753645
2024-06-24T17:00:00,0.009858972392976284
2024-06-24T18:00:00,0.009764343500137329
2024-06-24T19:00:00,0.009729397483170033
2024-06-24T20:00:00,0.009669104591012001
2024-06-24T21:00:00,0.009596249088644981
2024-06-24T22:00:00,0.009778741747140884
2024-06-24T23:00:00,0.009955296292901039
2024-06-25T00:00:00,0.010074825957417488
2024-06-25T01:00:00,0.010267130099236965
2024-06-25T02:00:00,0.010312344878911972
2024-06-25T03:00:00,0.01021044421941042
2024-06-25T04:00:00,0.010492823086678982
2024-06-25T05:00:00,0.010530948638916016
2024-06-25T06:00:00,0.010096748359501362
2024-06-25T07:00:00,0.00974020455032587
2024-06-25T08:00:00,0.00973583199083805
2024-06-25T09:00:00,0.009853456169366837
2024-06-25T10:00:00,0.009796739555895329
2024-06-25T11:00:00,0.009784343652427197
2024-06-25T12:00:00,0.009740504436194897
2024-06-25T13:00:00,0.009747819043695927
2024-06-25T14:00:00,0.009735913015902042
2024-06-25T15:00:00,0.009726276621222496
2024-06-25T16:00:00,0.009762250818312168
2024-06-25T17:00:00,0.009792654775083065
2024-06-25T18:00:00,0.009638138115406036
2024-06-25T19:00:00,0.00953346211463213
2024-06-25T20:00:00,0.009552741423249245
2024-06-25T21:00:00,0.009578539058566093
2024-06-25T22:00:00,0.00968405231833458
2024-06-25T23:00:00,0.009844002313911915
2024-06-26T00:00:00,0.010011325590312481
2024-06-26T01:00:00,0.01025411020964384
2024-06-26T02:00:00,0.01037481240928173
2024-06-26T03:00:00,0.010381906293332577
2024-06-26T04:00:00,0.010752459987998009
2024-06-26T05:00:00,0.011284797452390194
2024-06-26T06:00:00,0.011250797659158707
2024-06-26T07:00:00,0.011468848213553429
2024-06-26T08:00:00,0.011277555488049984
2024-06-26T09:00:00,0.011046080850064754
2024-06-26T10:00:00,0.011156692169606686
