scope,split,c2_mae,c2_rmse,c2_mse,lstm_mae,lstm_rmse,lstm_mse,delta_mae_c2_minus_lstm,delta_rmse_c2_minus_lstm,delta_mse_c2_minus_lstm,better_model_by_mae
all,test,0.1081871092319488,0.4523826305697679,0.2046500444412231,0.0979593023657798,0.4530141135716081,0.2052217870950698,0.010227806866169004,-0.0006314830018401829,-0.000571742653846713,LSTM
blast_hours,test,0.0413476042449474,0.0509305670655393,0.0025939226616173,0.0337673611938953,0.0418497764625726,0.0017514037899672,0.0075802430510521004,0.009080790602966703,0.0008425188716500998,LSTM
rain_hours,test,0.1221541091799736,0.418077900262276,0.1747891306877136,0.1110927909612655,0.4141803789587238,0.1715453863143921,0.011061318218708108,0.0038975213035521983,0.0032437443733215054,LSTM
non_event_hours,test,0.1077485010027885,0.4713671262726349,0.2221869677305221,0.0975089073181152,0.4731006897257903,0.2238242626190185,0.010239593684673295,-0.0017335634531553956,-0.001637294888496399,LSTM
