epoch,seq_len,learning_rate,dropout,train_loss,val_mae,val_rmse,val_mse
1,24,0.0005,0.1,0.9952314102424765,0.06131710857152939,0.08394014779751911,0.007045948412269354
2,24,0.0005,0.1,0.8778793390067119,0.06961088627576828,0.08929064228303481,0.007972818799316883
3,24,0.0005,0.1,0.8437749046199726,0.07774785906076431,0.09638875961075556,0.009290792979300022
4,24,0.0005,0.1,0.8229366175408633,0.08424478024244308,0.10217872156123682,0.010440491139888763
5,24,0.0005,0.1,0.8056500452869343,0.08994049578905106,0.10748408856847978,0.011552829295396805
6,24,0.0005,0.1,0.7952960988260666,0.09204013645648956,0.10950894753841564,0.01199220959097147
7,24,0.0005,0.1,0.7791878221169958,0.0950058251619339,0.11234341243990294,0.01262104231864214
8,24,0.0005,0.1,0.7676572619744066,0.09486576169729233,0.11223776938292122,0.01259731687605381
