epoch,seq_len,learning_rate,dropout,train_loss,val_mae,val_rmse,val_mse
1,48,0.0001,0.1,0.9785356831550598,0.05533856898546219,0.0851227162768313,0.0072458768263459206
2,48,0.0001,0.1,0.9219295239448547,0.05563228577375412,0.08440027829611352,0.0071234069764614105
3,48,0.0001,0.1,0.8923707473278045,0.056211989372968674,0.08392658851577964,0.007043672259896994
4,48,0.0001,0.1,0.8677541029453277,0.05679652467370033,0.08366215794591829,0.006999356672167778
5,48,0.0001,0.1,0.8573470735549926,0.057703156024217606,0.08353678788006887,0.00697839492931962
6,48,0.0001,0.1,0.8405352807044983,0.058467041701078415,0.08357011291517161,0.006983963772654533
7,48,0.0001,0.1,0.8313092041015625,0.05899180471897125,0.0835507197461211,0.0069807227700948715
8,48,0.0001,0.1,0.8229402470588684,0.05973591282963753,0.08369486833887349,0.007004830986261368
