epoch,seq_len,learning_rate,dropout,train_loss,val_mae,val_rmse,val_mse
1,96,0.0001,0.2,0.9434187439354983,0.06041302531957626,0.09642522732531342,0.009297824464738369
2,96,0.0001,0.2,0.8621372011574832,0.059011440724134445,0.09358079362867662,0.008757364936172962
3,96,0.0001,0.2,0.8245103467594493,0.05777982622385025,0.09130707907822853,0.008336982689797878
4,96,0.0001,0.2,0.8022207875143398,0.05767958238720894,0.08976964900871937,0.00805858988314867
5,96,0.0001,0.2,0.7812326767227866,0.057735592126846313,0.08862274737346892,0.007853991352021694
6,96,0.0001,0.2,0.767985465851697,0.05717591941356659,0.08736310909381349,0.007632312830537558
7,96,0.0001,0.2,0.7549242770129984,0.05677851289510727,0.0863607614629194,0.007458181120455265
8,96,0.0001,0.2,0.7438903193582188,0.05689582601189613,0.08568794418135667,0.007342423778027296
