epoch,seq_len,learning_rate,dropout,train_loss,val_mae,val_rmse,val_mse
1,48,0.0001,0.2,1.0909467124938965,0.057926472276449203,0.08657623116264024,0.007495443802326918
2,48,0.0001,0.2,0.951381207704544,0.05677817761898041,0.08592082262773455,0.007382387761026621
3,48,0.0001,0.2,0.9120656812191009,0.05700449272990227,0.08527347475576176,0.007271565496921539
4,48,0.0001,0.2,0.8832990729808807,0.05754459649324417,0.08486422427392049,0.007201936561614275
5,48,0.0001,0.2,0.8655681395530701,0.05805211141705513,0.08450262827919273,0.007140694186091423
6,48,0.0001,0.2,0.8472561144828796,0.058616697788238525,0.08422504639046094,0.007093858439475298
7,48,0.0001,0.2,0.8336728137731552,0.05905263125896454,0.08403904654596782,0.007062561344355345
8,48,0.0001,0.2,0.8243689560890197,0.05954509973526001,0.08393652240215127,0.007045339792966843
