epoch,seq_len,learning_rate,dropout,train_loss,val_mae,val_rmse,val_mse
1,48,0.0003,0.2,0.9747651576995849,0.057380132377147675,0.08578639672079338,0.007359305862337351
2,48,0.0003,0.2,0.86636066198349,0.061833471059799194,0.08546604263351894,0.007304444443434477
3,48,0.0003,0.2,0.8212669336795807,0.06413455307483673,0.08618299953264662,0.007427509408444166
4,48,0.0003,0.2,0.7934863770008087,0.06576953083276749,0.08683121676103553,0.007539660204201937
5,48,0.0003,0.2,0.7736463356018066,0.06779396533966064,0.08769651010710823,0.007690677884966135
6,48,0.0003,0.2,0.7618795013427735,0.067708820104599,0.08741875180144693,0.00764203816652298
7,48,0.0003,0.2,0.7501888287067413,0.06848476082086563,0.08767359481655049,0.007686659228056669
8,48,0.0003,0.2,0.7399775183200836,0.06762172281742096,0.08677530731912907,0.007529953960329294
