epoch,seq_len,learning_rate,dropout,train_loss,val_mae,val_rmse,val_mse
1,48,0.0001,0.3,1.0734928631782532,0.05813969671726227,0.08859794828771196,0.007849596440792084
2,48,0.0001,0.3,0.955426390171051,0.05714862793684006,0.08752039709941971,0.007659819908440113
3,48,0.0001,0.3,0.9197544610500336,0.05727589875459671,0.08662668949790883,0.007504183333367109
4,48,0.0001,0.3,0.8957754123210907,0.05738680437207222,0.08596585358701588,0.00739012798294425
5,48,0.0001,0.3,0.8743564760684968,0.05800670012831688,0.08541622342260231,0.007295931223779917
6,48,0.0001,0.3,0.858106255531311,0.05811440572142601,0.08497136424747523,0.007220132742077112
7,48,0.0001,0.3,0.845565847158432,0.05853297561407089,0.08465258228626962,0.00716605968773365
8,48,0.0001,0.3,0.8346912491321564,0.058478161692619324,0.08441870681029125,0.0071265180595219135
