epoch,seq_len,learning_rate,dropout,train_loss,val_mae,val_rmse,val_mse
1,96,0.0003,0.3,0.8980044438080355,0.05869930982589722,0.08988462948610092,0.008079246617853642
2,96,0.0003,0.3,0.7828905338590796,0.05634653940796852,0.08495509741431442,0.0072173685766756535
3,96,0.0003,0.3,0.737051666460254,0.06101714074611664,0.08485590537252642,0.007200524676591158
4,96,0.0003,0.3,0.7097059014168653,0.06577125191688538,0.08681480226011187,0.007536809891462326
5,96,0.0003,0.3,0.6883690167557109,0.06716997921466827,0.08688574769068652,0.007549133151769638
6,96,0.0003,0.3,0.6711087836460634,0.07082578539848328,0.08925131684421725,0.007965797558426857
7,96,0.0003,0.3,0.6577697138894688,0.07448295503854752,0.0921003620859985,0.008482476696372032
8,96,0.0003,0.3,0.6496882750229402,0.07625063508749008,0.09333946322938057,0.008712255395948887
