epoch,seq_len,learning_rate,dropout,train_loss,val_mae,val_rmse,val_mse
1,24,0.0001,0.3,1.0801551072102673,0.054859671741724014,0.07984809284194419,0.006375717930495739
2,24,0.0001,0.3,0.9972758180690262,0.05554932355880737,0.07971521461278294,0.006354515440762043
3,24,0.0001,0.3,0.9608574487128347,0.056521106511354446,0.08009732120986143,0.006415580864995718
4,24,0.0001,0.3,0.936444749247353,0.057639382779598236,0.08055499024861944,0.0064891064539551735
5,24,0.0001,0.3,0.9183367760676258,0.0587737113237381,0.08119717391420482,0.006592981051653624
6,24,0.0001,0.3,0.902780902835558,0.060167282819747925,0.08198753963489275,0.00672195665538311
7,24,0.0001,0.3,0.8937583054011723,0.06151220574975014,0.08286209218488368,0.006866126321256161
8,24,0.0001,0.3,0.8847366245287769,0.06300650537014008,0.0838189714132304,0.0070256199687719345
