timestamp,blast_count,total_charge_kg,mean_charge_kg,max_ppv_est_mm_s,disturbance_index,blast_count_6h,charge_24h_kg
2024-06-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01 10:00:00,1.0,250.0,250.0,10.11,1.636,1.0,250.0
2024-06-01 11:00:00,0.0,0.0,0.0,0.0,1.3848,1.0,250.0
2024-06-01 12:00:00,0.0,0.0,0.0,0.0,1.1722,1.0,250.0
2024-06-01 13:00:00,0.0,0.0,0.0,0.0,0.9923,1.0,250.0
2024-06-01 14:00:00,0.0,0.0,0.0,0.0,0.84,1.0,250.0
2024-06-01 15:00:00,1.0,171.5,171.5,5.48,1.6878,2.0,421.5
2024-06-01 16:00:00,0.0,0.0,0.0,0.0,1.4287,1.0,421.5
2024-06-01 17:00:00,0.0,0.0,0.0,0.0,1.2093,1.0,421.5
2024-06-01 18:00:00,0.0,0.0,0.0,0.0,1.0237,1.0,421.5
2024-06-01 19:00:00,0.0,0.0,0.0,0.0,0.8665,1.0,421.5
2024-06-01 20:00:00,0.0,0.0,0.0,0.0,0.7335,1.0,421.5
2024-06-01 21:00:00,0.0,0.0,0.0,0.0,0.6209,0.0,421.5
2024-06-01 22:00:00,0.0,0.0,0.0,0.0,0.5256,0.0,421.5
2024-06-01 23:00:00,0.0,0.0,0.0,0.0,0.4449,0.0,421.5
2024-06-02 00:00:00,0.0,0.0,0.0,0.0,0.3766,0.0,421.5
2024-06-02 01:00:00,0.0,0.0,0.0,0.0,0.3188,0.0,421.5
2024-06-02 02:00:00,0.0,0.0,0.0,0.0,0.2698,0.0,421.5
2024-06-02 03:00:00,0.0,0.0,0.0,0.0,0.2284,0.0,421.5
2024-06-02 04:00:00,0.0,0.0,0.0,0.0,0.1933,0.0,421.5
2024-06-02 05:00:00,0.0,0.0,0.0,0.0,0.1637,0.0,421.5
2024-06-02 06:00:00,0.0,0.0,0.0,0.0,0.1385,0.0,421.5
2024-06-02 07:00:00,0.0,0.0,0.0,0.0,0.1173,0.0,421.5
2024-06-02 08:00:00,0.0,0.0,0.0,0.0,0.0993,0.0,421.5
2024-06-02 09:00:00,0.0,0.0,0.0,0.0,0.084,0.0,421.5
2024-06-02 10:00:00,0.0,0.0,0.0,0.0,0.0711,0.0,171.5
2024-06-02 11:00:00,0.0,0.0,0.0,0.0,0.0602,0.0,171.5
2024-06-02 12:00:00,0.0,0.0,0.0,0.0,0.051,0.0,171.5
2024-06-02 13:00:00,0.0,0.0,0.0,0.0,0.0431,0.0,171.5
2024-06-02 14:00:00,0.0,0.0,0.0,0.0,0.0365,0.0,171.5
2024-06-02 15:00:00,0.0,0.0,0.0,0.0,0.0309,0.0,0.0
2024-06-02 16:00:00,0.0,0.0,0.0,0.0,0.0262,0.0,0.0
2024-06-02 17:00:00,0.0,0.0,0.0,0.0,0.0221,0.0,0.0
2024-06-02 18:00:00,0.0,0.0,0.0,0.0,0.0187,0.0,0.0
2024-06-02 19:00:00,0.0,0.0,0.0,0.0,0.0159,0.0,0.0
2024-06-02 20:00:00,0.0,0.0,0.0,0.0,0.0134,0.0,0.0
2024-06-02 21:00:00,0.0,0.0,0.0,0.0,0.0114,0.0,0.0
2024-06-02 22:00:00,0.0,0.0,0.0,0.0,0.0096,0.0,0.0
2024-06-02 23:00:00,0.0,0.0,0.0,0.0,0.0081,0.0,0.0
2024-06-03 00:00:00,0.0,0.0,0.0,0.0,0.0069,0.0,0.0
2024-06-03 01:00:00,0.0,0.0,0.0,0.0,0.0058,0.0,0.0
2024-06-03 02:00:00,0.0,0.0,0.0,0.0,0.0049,0.0,0.0
2024-06-03 03:00:00,0.0,0.0,0.0,0.0,0.0042,0.0,0.0
2024-06-03 04:00:00,0.0,0.0,0.0,0.0,0.0035,0.0,0.0
2024-06-03 05:00:00,0.0,0.0,0.0,0.0,0.003,0.0,0.0
2024-06-03 06:00:00,0.0,0.0,0.0,0.0,0.0025,0.0,0.0
2024-06-03 07:00:00,0.0,0.0,0.0,0.0,0.0021,0.0,0.0
2024-06-03 08:00:00,0.0,0.0,0.0,0.0,0.0018,0.0,0.0
2024-06-03 09:00:00,0.0,0.0,0.0,0.0,0.0015,0.0,0.0
2024-06-03 10:00:00,1.0,443.2,443.2,8.31,1.9403,1.0,443.2
2024-06-03 11:00:00,2.0,921.1,460.55,14.71,5.4162,3.0,1364.3
2024-06-03 12:00:00,0.0,0.0,0.0,0.0,4.5847,3.0,1364.3000000000002
2024-06-03 13:00:00,0.0,0.0,0.0,0.0,3.8809,3.0,1364.3000000000002
2024-06-03 14:00:00,0.0,0.0,0.0,0.0,3.2851,3.0,1364.3000000000002
2024-06-03 15:00:00,0.0,0.0,0.0,0.0,2.7808,3.0,1364.3000000000002
2024-06-03 16:00:00,0.0,0.0,0.0,0.0,2.3539,2.0,1364.3000000000002
2024-06-03 17:00:00,0.0,0.0,0.0,0.0,1.9925,0.0,1364.3000000000002
2024-06-03 18:00:00,0.0,0.0,0.0,0.0,1.6866,0.0,1364.3000000000002
2024-06-03 19:00:00,0.0,0.0,0.0,0.0,1.4277,0.0,1364.3000000000002
2024-06-03 20:00:00,0.0,0.0,0.0,0.0,1.2085,0.0,1364.3000000000002
2024-06-03 21:00:00,0.0,0.0,0.0,0.0,1.023,0.0,1364.3000000000002
2024-06-03 22:00:00,0.0,0.0,0.0,0.0,0.8659,0.0,1364.3000000000002
2024-06-03 23:00:00,0.0,0.0,0.0,0.0,0.733,0.0,1364.3000000000002
2024-06-04 00:00:00,0.0,0.0,0.0,0.0,0.6205,0.0,1364.3000000000002
2024-06-04 01:00:00,0.0,0.0,0.0,0.0,0.5252,0.0,1364.3000000000002
2024-06-04 02:00:00,0.0,0.0,0.0,0.0,0.4446,0.0,1364.3000000000002
2024-06-04 03:00:00,0.0,0.0,0.0,0.0,0.3763,0.0,1364.3000000000002
2024-06-04 04:00:00,0.0,0.0,0.0,0.0,0.3186,0.0,1364.3000000000002
2024-06-04 05:00:00,0.0,0.0,0.0,0.0,0.2697,0.0,1364.3000000000002
2024-06-04 06:00:00,0.0,0.0,0.0,0.0,0.2283,0.0,1364.3000000000002
2024-06-04 07:00:00,0.0,0.0,0.0,0.0,0.1932,0.0,1364.3000000000002
2024-06-04 08:00:00,0.0,0.0,0.0,0.0,0.1636,0.0,1364.3000000000002
2024-06-04 09:00:00,0.0,0.0,0.0,0.0,0.1384,0.0,1364.3000000000002
2024-06-04 10:00:00,1.0,379.2,379.2,8.6,1.9252,1.0,1300.3
2024-06-04 11:00:00,0.0,0.0,0.0,0.0,1.6296,1.0,379.2000000000001
2024-06-04 12:00:00,0.0,0.0,0.0,0.0,1.3795,1.0,379.2000000000001
2024-06-04 13:00:00,0.0,0.0,0.0,0.0,1.1677,1.0,379.2000000000001
2024-06-04 14:00:00,0.0,0.0,0.0,0.0,0.9884,1.0,379.2000000000001
2024-06-04 15:00:00,1.0,495.1,495.1,10.56,3.1304,2.0,874.3000000000002
2024-06-04 16:00:00,0.0,0.0,0.0,0.0,2.6499,1.0,874.3000000000002
2024-06-04 17:00:00,0.0,0.0,0.0,0.0,2.2431,1.0,874.3000000000002
2024-06-04 18:00:00,0.0,0.0,0.0,0.0,1.8987,1.0,874.3000000000002
2024-06-04 19:00:00,0.0,0.0,0.0,0.0,1.6072,1.0,874.3000000000002
2024-06-04 20:00:00,0.0,0.0,0.0,0.0,1.3605,1.0,874.3000000000002
2024-06-04 21:00:00,0.0,0.0,0.0,0.0,1.1516,0.0,874.3000000000002
2024-06-04 22:00:00,0.0,0.0,0.0,0.0,0.9748,0.0,874.3000000000002
2024-06-04 23:00:00,0.0,0.0,0.0,0.0,0.8252,0.0,874.3000000000002
2024-06-05 00:00:00,0.0,0.0,0.0,0.0,0.6985,0.0,874.3000000000002
2024-06-05 01:00:00,0.0,0.0,0.0,0.0,0.5913,0.0,874.3000000000002
2024-06-05 02:00:00,0.0,0.0,0.0,0.0,0.5005,0.0,874.3000000000002
2024-06-05 03:00:00,0.0,0.0,0.0,0.0,0.4237,0.0,874.3000000000002
2024-06-05 04:00:00,0.0,0.0,0.0,0.0,0.3586,0.0,874.3000000000002
2024-06-05 05:00:00,0.0,0.0,0.0,0.0,0.3036,0.0,874.3000000000002
2024-06-05 06:00:00,0.0,0.0,0.0,0.0,0.257,0.0,874.3000000000002
2024-06-05 07:00:00,0.0,0.0,0.0,0.0,0.2175,0.0,874.3000000000002
2024-06-05 08:00:00,0.0,0.0,0.0,0.0,0.1841,0.0,874.3000000000002
2024-06-05 09:00:00,1.0,451.7,451.7,17.71,3.0561,1.0,1326.0
2024-06-05 10:00:00,1.0,488.7,488.7,9.52,4.7607,2.0,1435.5
2024-06-05 11:00:00,2.0,937.8,468.9,9.07,7.2813,4.0,2373.3
2024-06-05 12:00:00,0.0,0.0,0.0,0.0,6.1635,4.0,2373.3
2024-06-05 13:00:00,0.0,0.0,0.0,0.0,5.2173,4.0,2373.3
2024-06-05 14:00:00,0.0,0.0,0.0,0.0,4.4164,4.0,2373.3
2024-06-05 15:00:00,0.0,0.0,0.0,0.0,3.7384,3.0,1878.2
2024-06-05 16:00:00,0.0,0.0,0.0,0.0,3.1645,2.0,1878.2
2024-06-05 17:00:00,0.0,0.0,0.0,0.0,2.6787,0.0,1878.2
2024-06-05 18:00:00,0.0,0.0,0.0,0.0,2.2674,0.0,1878.2
2024-06-05 19:00:00,0.0,0.0,0.0,0.0,1.9193,0.0,1878.2
2024-06-05 20:00:00,0.0,0.0,0.0,0.0,1.6247,0.0,1878.2
2024-06-05 21:00:00,0.0,0.0,0.0,0.0,1.3753,0.0,1878.2
2024-06-05 22:00:00,0.0,0.0,0.0,0.0,1.1641,0.0,1878.2
2024-06-05 23:00:00,0.0,0.0,0.0,0.0,0.9854,0.0,1878.2
2024-06-06 00:00:00,0.0,0.0,0.0,0.0,0.8341,0.0,1878.2
2024-06-06 01:00:00,0.0,0.0,0.0,0.0,0.7061,0.0,1878.2
2024-06-06 02:00:00,0.0,0.0,0.0,0.0,0.5977,0.0,1878.2
2024-06-06 03:00:00,0.0,0.0,0.0,0.0,0.5059,0.0,1878.2
2024-06-06 04:00:00,0.0,0.0,0.0,0.0,0.4283,0.0,1878.2
2024-06-06 05:00:00,0.0,0.0,0.0,0.0,0.3625,0.0,1878.2
2024-06-06 06:00:00,0.0,0.0,0.0,0.0,0.3069,0.0,1878.2
2024-06-06 07:00:00,0.0,0.0,0.0,0.0,0.2598,0.0,1878.2
